method,seed,step,test_error,reward,backward_frac,loss
PG,1,8500,0.036499977111816406,0.9700000286102295,1.0,-0.0021306276321411133
PG,1,8600,0.0372999906539917,0.9399999976158142,1.0,-0.008380771614611149
PG,1,8700,0.0340999960899353,0.9900000095367432,1.0,0.0005906711448915303
PG,1,8800,0.0382000207901001,0.9300000071525574,1.0,-0.01031117420643568
PG,1,8900,0.037400007247924805,0.9599999785423279,1.0,-0.0018776223296299577
PG,1,9000,0.03600001335144043,0.9599999785423279,1.0,0.005225937347859144
PG,1,9100,0.03549998998641968,0.9900000095367432,1.0,-0.00327871460467577
PG,1,9200,0.037100017070770264,0.9399999976158142,1.0,0.007241208106279373
PG,1,9300,0.04100000858306885,0.949999988079071,1.0,-0.003286949126049876
PG,1,9400,0.0350000262260437,0.9599999785423279,1.0,-0.010990767739713192
PG,1,9500,0.034300029277801514,0.9700000286102295,1.0,0.007926837541162968
PG,1,9600,0.033100008964538574,0.9700000286102295,1.0,0.0009401130955666304
PG,1,9700,0.03670001029968262,0.9700000286102295,1.0,-0.0035032867453992367
PG,1,9800,0.03519999980926514,0.9800000190734863,1.0,-0.0020606163889169693
PG,1,9900,0.031599998474121094,0.9900000095367432,1.0,3.383479634067044e-05
PG,1,9999,0.034300029277801514,0.9599999785423279,1.0,-0.001447452581487596
PG,2,0,0.882700003683567,0.07999999821186066,1.0,-0.045042287558317184
PG,2,100,0.31040000915527344,0.5899999737739563,1.0,-0.20791973173618317
PG,2,200,0.1593000292778015,0.8399999737739563,1.0,-0.20815598964691162
PG,2,300,0.11640000343322754,0.8799999952316284,1.0,-0.04205862432718277
PG,2,400,0.10049998760223389,0.8799999952316284,1.0,-0.09848416596651077
PG,2,500,0.1021999716758728,0.8700000047683716,1.0,-0.016533339396119118
PG,2,600,0.09549999237060547,0.8299999833106995,1.0,-0.11848706007003784
PG,2,700,0.09140002727508545,0.8999999761581421,1.0,0.004894171375781298
PG,2,800,0.08170002698898315,0.9100000262260437,1.0,-0.04790346696972847
PG,2,900,0.08600002527236938,0.8700000047683716,1.0,-0.004663088824599981
PG,2,1000,0.07489997148513794,0.9100000262260437,1.0,-0.006056404206901789
PG,2,1100,0.0835999846458435,0.8700000047683716,1.0,-0.0376126803457737
PG,2,1200,0.07179999351501465,0.8999999761581421,1.0,-0.005695273168385029
PG,2,1300,0.07209998369216919,0.8799999952316284,1.0,-0.06549713015556335
PG,2,1400,0.06959998607635498,0.8999999761581421,1.0,-0.0334605798125267
